Comparison,Mean_Difference,CI_Lower,CI_Upper,Raw_p_value,FDR_corrected_p,Significant_FDR
Good_SNR_tSNE-X vs Bad_SNR_IR2,0.0563603818709896,0.0197602360000315,0.0929605277419476,0.00827311029895675,0.0198430239501294,1
Good_SNR_tSNE-X vs Bad_SNR_WP1,0.0582609931615644,0.0186534011586682,0.0978685851644607,0.0102904628396963,0.0231173073652333,1
Good_SNR_tSNE-X vs Bad_SNR_WP2,0.0569475121324968,0.0170030451363678,0.0968919791286258,0.0119013309932726,0.0260035930606436,1
Good_SNR_tSNE-X vs Bad_SNR_Shock,0.084669608242999,0.0571416422348423,0.112197574251156,0.00016658415741542,0.000781475679639984,1
Good_SNR_tSNE-X vs Bad_SNR_Sound,0.084669608242999,0.0571416422348423,0.112197574251156,0.00016658415741542,0.000781475679639984,1
Good_SNR_tSNE-Y vs Good_SNR_IR1,0.0325602217350124,-0.0162193024001574,0.0813397458701821,0.167778019577111,0.226323239404373,0
Good_SNR_tSNE-Y vs Good_SNR_IR2,0.0383656714672565,0.00588357030499945,0.0708477726295135,0.0250876543607528,0.0468009458542699,1
Good_SNR_tSNE-Y vs Good_SNR_WP1,0.0367078631691994,0.00832558563815408,0.0650901407002448,0.0163368706003335,0.0328497663290337,1
Good_SNR_tSNE-Y vs Good_SNR_WP2,0.0601415572122213,0.0402344174418644,0.0800486969825781,5.1593329102636e-05,0.000323894490053247,1
Good_SNR_tSNE-Y vs Good_SNR_Shock,0.0765000369382733,0.0590484154267443,0.0939516584498022,1.97184183553346e-06,2.24649123405419e-05,1
Good_SNR_tSNE-Y vs Good_SNR_Sound,0.0765000369382733,0.0590484154267443,0.0939516584498022,1.97184183553346e-06,2.24649123405419e-05,1
Good_SNR_tSNE-Y vs Bad_SNR_Dominant Freq,-0.0073578324914599,-0.0399116393900452,0.0251959744071254,0.609574770993614,0.670532248092975,0
Good_SNR_tSNE-Y vs Bad_SNR_X Position,-0.0737531731247733,-0.103973797941416,-0.0435325483081302,0.000683632723823013,0.00253580045232025,1
Good_SNR_tSNE-Y vs Bad_SNR_Y Position,-0.0741992039689998,-0.113370203103047,-0.035028204834953,0.00286916814800816,0.00809968707269561,1
Good_SNR_tSNE-Y vs Bad_SNR_Z Position,-0.0420336183143957,-0.078959939618919,-0.00510729700987236,0.0310103763254404,0.0555747755495253,0
Good_SNR_tSNE-Y vs Bad_SNR_Speed,-0.0228684053223308,-0.0516117641971418,0.00587495355248034,0.101969318069608,0.147186481738484,0
Good_SNR_tSNE-Y vs Bad_SNR_tSNE-X,-0.0210182670601489,-0.0578457050461412,0.0158091709258434,0.219176285925539,0.285376470245906,0
Good_SNR_tSNE-Y vs Bad_SNR_tSNE-Y,-0.00202141898038104,-0.0310719350883883,0.0270290971276262,0.87395855186971,0.905171357293629,0
Good_SNR_tSNE-Y vs Bad_SNR_IR1,0.00324424776157933,-0.0585082408821247,0.0649967364052834,0.904626335212153,0.924922438886784,0
Good_SNR_tSNE-Y vs Bad_SNR_IR2,0.0481908105662639,0.0119029211206883,0.0844787000118394,0.0163733945025591,0.0328497663290337,1
Good_SNR_tSNE-Y vs Bad_SNR_WP1,0.0500914218568387,0.0107721951743771,0.0894106485393003,0.0195940467186565,0.0385054651627552,1
Good_SNR_tSNE-Y vs Bad_SNR_WP2,0.0487779408277711,0.0091193895904434,0.0884364920650988,0.0227134440729208,0.0428733056761049,1
Good_SNR_tSNE-Y vs Bad_SNR_Shock,0.0765000369382733,0.0493886158175512,0.103611458058995,0.000284620048852726,0.00123857356607654,1
Good_SNR_tSNE-Y vs Bad_SNR_Sound,0.0765000369382733,0.0493886158175512,0.103611458058995,0.000284620048852726,0.00123857356607654,1
Good_SNR_IR1 vs Good_SNR_IR2,0.00580544973224412,-0.0473491425811712,0.0589600420456594,0.812650993001301,0.852748903840181,0
Good_SNR_IR1 vs Good_SNR_WP1,0.00414764143418708,-0.0466054615836538,0.054900744452028,0.859152041995194,0.895651965347931,0
Good_SNR_IR1 vs Good_SNR_WP2,0.0275813354772089,-0.0189656085892581,0.074128279543676,0.216161711447573,0.282604860458098,0
Good_SNR_IR1 vs Good_SNR_Shock,0.0439398152032609,-0.00161106713146397,0.0894906975379858,0.0571287237334329,0.0910201366277088,0
Good_SNR_IR1 vs Good_SNR_Sound,0.0439398152032609,-0.00161106713146397,0.0894906975379858,0.0571287237334329,0.0910201366277088,0
Good_SNR_IR1 vs Bad_SNR_Dominant Freq,-0.0399180542264723,-0.112940557886223,0.0331044494332785,0.237167102894654,0.303840585636124,0
